cell	phenotype
T0_E1.S293	MITFinterm_proliferative
T0_E1.S5	MITFinterm_proliferative
T0_E10.S365	MITFinterm_proliferative
T0_E11.S373	MITFinterm_proliferative
T0_E11.S85	MITFinterm_proliferative
T0_E2.S13	MITFinterm_proliferative
T0_E2.S301	MITFinterm_proliferative
T0_E3.S21	MITFinterm_proliferative
T0_E4.S29	MITFinterm_proliferative
T0_E4.S317	MITFinterm_proliferative
T0_E5.S325	MITFinterm_proliferative
T0_E5.S37	MITFinterm_proliferative
T0_E6.S45	MITFinterm_proliferative
T0_E7.S53	MITFinterm_proliferative
T0_E8.S349	MITFinterm_proliferative
T0_E8.S61	MITFinterm_proliferative
T0_E9.S69	MITFinterm_proliferative
T0_F1.S294	MITFinterm_proliferative
T0_F1.S6	MITFinterm_proliferative
T0_F11.S374	MITFinterm_proliferative
T0_F11.S86	MITFinterm_proliferative
T0_F12.S94	MITFinterm_proliferative
T0_F2.S14	MITFinterm_proliferative
T0_F2.S302	MITFinterm_proliferative
T0_F4.S30	MITFinterm_proliferative
T0_F5.S38	MITFinterm_proliferative
T0_F7.S342	MITFinterm_proliferative
T0_F7.S54	MITFinterm_proliferative
T0_F8.S62	MITFinterm_proliferative
T0_F9.S358	MITFinterm_proliferative
T0_G10.S79	MITFinterm_proliferative
T0_G11.S375	MITFinterm_proliferative
T0_G11.S87	MITFinterm_proliferative
T0_G12.S95	MITFinterm_proliferative
T0_G2.S15	MITFinterm_proliferative
T0_G2.S303	MITFinterm_proliferative
T0_G3.S23	MITFinterm_proliferative
T0_G3.S311	MITFinterm_proliferative
T0_G4.S31	MITFinterm_proliferative
T0_G4.S319	MITFinterm_proliferative
T0_G5.S327	MITFinterm_proliferative
T0_G5.S39	MITFinterm_proliferative
T0_G6.S335	MITFinterm_proliferative
T0_G7.S343	MITFinterm_proliferative
T0_G8.S351	MITFinterm_proliferative
T0_G9.S359	MITFinterm_proliferative
T0_G9.S71	MITFinterm_proliferative
T0_H1.S296	MITFinterm_proliferative
T0_H10.S80	MITFinterm_proliferative
T0_H11.S376	MITFinterm_proliferative
T0_H3.S24	MITFinterm_proliferative
T0_H4.S32	MITFinterm_proliferative
T0_H4.S320	MITFinterm_proliferative
T0_H8.S352	MITFinterm_proliferative
T0_H9.S72	MITFinterm_proliferative
T28_D14.S172	MITFinterm_proliferative
T28_E14.S173	MITFinterm_proliferative
T28_F8.S158	MITFinterm_proliferative
T28_H12.S192	MITFinterm_proliferative
T28_H8.S160	MITFinterm_proliferative
T4_C2.S128	MITFinterm_proliferative
T4_C5.S152	MITFinterm_proliferative
Tres_A10.S382	MITFinterm_proliferative
Tres_A4.S334	MITFinterm_proliferative
Tres_A8.S366	MITFinterm_proliferative
Tres_A9.S374	MITFinterm_proliferative
Tres_B1.S194	MITFinterm_proliferative
Tres_B10.S383	MITFinterm_proliferative
Tres_B3.S210	MITFinterm_proliferative
Tres_B5.S343	MITFinterm_proliferative
Tres_C1.S312	MITFinterm_proliferative
Tres_C12.S102	MITFinterm_proliferative
Tres_C6.S352	MITFinterm_proliferative
Tres_C7.S243	MITFinterm_proliferative
Tres_C7.S360	MITFinterm_proliferative
Tres_C8.S368	MITFinterm_proliferative
Tres_C9.S376	MITFinterm_proliferative
Tres_D3.S329	MITFinterm_proliferative
Tres_D4.S220	MITFinterm_proliferative
Tres_D6.S236	MITFinterm_proliferative
Tres_D8.S252	MITFinterm_proliferative
Tres_D8.S369	MITFinterm_proliferative
Tres_E1.S197	MITFinterm_proliferative
Tres_E3.S330	MITFinterm_proliferative
Tres_E5.S229	MITFinterm_proliferative
Tres_E6.S354	MITFinterm_proliferative
Tres_E7.S362	MITFinterm_proliferative
Tres_E8.S253	MITFinterm_proliferative
Tres_E8.S370	MITFinterm_proliferative
Tres_F1.S198	MITFinterm_proliferative
Tres_F6.S238	MITFinterm_proliferative
Tres_F6.S355	MITFinterm_proliferative
Tres_G1.S199	MITFinterm_proliferative
Tres_G11.S106	MITFinterm_proliferative
Tres_G3.S332	MITFinterm_proliferative
Tres_G9.S263	MITFinterm_proliferative
Tres_H1.S317	MITFinterm_proliferative
Tres_H11.S280	MITFinterm_proliferative
Tres_H14.S272	MITFinterm_proliferative
lib1_AR_T28_1_A11.S298	NCSC
lib1_AR_T28_1_B11.S310	NCSC
lib1_AR_T28_1_B3.S302	NCSC
lib1_AR_T28_1_B4.S303	NCSC
lib1_AR_T28_1_B9.S308	NCSC
lib1_AR_T28_1_C3.S314	NCSC
lib1_AR_T28_1_C5.S316	NCSC
lib1_AR_T28_1_D10.S333	NCSC
lib1_AR_T28_1_D12.S335	NCSC
lib1_AR_T28_1_D8.S331	NCSC
lib1_AR_T28_1_E9.S344	NCSC
lib1_AR_T28_1_G10.S369	NCSC
lib1_AR_T28_1_G4.S363	NCSC
lib2_AR_lib2_AR_T28_228_2_D9.S236	NCSC
lib2_AR_lib2_AR_T28_228_2_E2.S241	NCSC
lib2_AR_lib2_AR_T28_228_2_F12.S263	NCSC
T0_A1.S1	NCSC
T28_A11.S177	NCSC
T28_A11.S294	NCSC
T28_B12.S303	NCSC
T28_C1.S216	NCSC
T28_C2.S224	NCSC
T28_C8.S155	NCSC
T28_C8.S272	NCSC
T28_C9.S280	NCSC
T28_D11.S297	NCSC
T28_E3.S234	NCSC
T28_F10.S291	NCSC
T28_F2.S227	NCSC
T28_F3.S118	NCSC
T28_G14.S175	NCSC
T28_G3.S119	NCSC
T4_B2.S10	NCSC
T4_B3.S135	NCSC
T4_C11.S83	NCSC
T4_D3.S20	NCSC
T4_D9.S68	NCSC
T4_E5.S154	NCSC
T4_F1.S6	NCSC
T4_F11.S86	NCSC
T4_F12.S94	NCSC
T4_G3.S23	NCSC
T4_G6.S164	NCSC
T4_H5.S157	NCSC
lib1_AR_T28_1_A12.S299	other
lib1_AR_T28_1_A8.S295	other
lib1_AR_T28_1_B10.S309	other
lib1_AR_T28_1_E2.S337	other
lib1_AR_T28_1_F3.S350	other
lib1_AR_T28_1_G11.S370	other
lib1_AR_T28_1_G9.S368	other
lib2_AR_lib2_AR_T28_228_2_C4.S219	other
lib2_AR_lib2_AR_T28_228_2_C8.S223	other
lib2_AR_lib2_AR_T28_228_2_D10.S237	other
lib2_AR_lib2_AR_T28_228_2_E3.S242	other
lib2_AR_lib2_AR_T28_228_2_F11.S262	other
lib2_AR_lib2_AR_T28_228_2_F6.S257	other
T0_A2.S9	other
T0_A5.S321	other
T0_A5.S33	other
T0_A9.S353	other
T0_B3.S306	other
T0_B6.S330	other
T0_C10.S363	other
T0_C10.S75	other
T0_C11.S83	other
T0_C2.S11	other
T0_C4.S315	other
T0_C5.S35	other
T0_C6.S331	other
T0_C7.S51	other
T0_C9.S67	other
T0_D10.S364	other
T0_D10.S76	other
T0_D11.S84	other
T0_D3.S308	other
T0_D4.S28	other
T0_D5.S324	other
T0_D5.S36	other
T0_D6.S332	other
T0_D6.S44	other
T0_D7.S340	other
T0_D8.S348	other
T0_E10.S77	other
T0_E3.S309	other
T0_E7.S341	other
T0_E9.S357	other
T0_F10.S366	other
T0_F3.S22	other
T0_F3.S310	other
T0_F4.S318	other
T0_F6.S46	other
T0_G1.S7	other
T0_G10.S367	other
T0_G6.S47	other
T0_G7.S55	other
T0_H1.S8	other
T0_H10.S368	other
T0_H11.S88	other
T0_H2.S16	other
T0_H7.S56	other
T28_A1.S214	other
T28_A7.S262	other
T28_B4.S239	other
T28_C6.S256	other
T28_C7.S147	other
T28_D3.S116	other
T28_D5.S132	other
T28_F4.S243	other
T28_G11.S300	other
T28_G2.S228	other
T28_G9.S167	other
T4_A1.S1	other
T4_A11.S81	other
T4_A14.S73	other
T4_A7.S166	other
T4_A7.S49	other
T4_B1.S119	other
T4_B1.S2	other
T4_B10.S191	other
T4_B11.S82	other
T4_B3.S18	other
T4_B4.S143	other
T4_B6.S42	other
T4_B8.S175	other
T4_B9.S183	other
T4_C1.S3	other
T4_C11.S200	other
T4_C14.S75	other
T4_C7.S51	other
T4_C8.S59	other
T4_C9.S184	other
T4_D11.S201	other
T4_D12.S92	other
T4_D2.S12	other
T4_D3.S137	other
T4_D4.S28	other
T4_D5.S153	other
T4_D6.S161	other
T4_D7.S52	other
T4_E12.S210	other
T4_E14.S77	other
T4_E3.S138	other
T4_E3.S21	other
T4_E4.S29	other
